fold,hyperparam,error,walltime,cputime,n
1,0,39.27,01:27:01,08:09:04,9885
2,0,38.06,01:27:01,08:09:04,9885
3,0,41.76,01:27:01,08:09:04,9885
4,0,39.23,01:27:01,08:09:04,9885
5,0,38.97,01:27:01,08:09:04,9885
6,0,43.38,01:27:01,08:09:04,9885
7,0,39.98,01:27:01,08:09:04,9885
8,0,39.23,01:27:01,08:09:04,9885
9,0,37.65,01:27:01,08:09:04,9885
10,0,38.73,01:27:01,08:09:04,9885
1,10,37.78,01:18:33,06:43:56,8998
2,10,39.78,01:18:33,06:43:56,8998
3,10,37.82,01:18:33,06:43:56,8998
4,10,37.00,01:18:33,06:43:56,8998
5,10,37.00,01:18:33,06:43:56,8998
6,10,37.00,01:18:33,06:43:56,8998
7,10,35.44,01:18:33,06:43:56,8998
8,10,41.00,01:18:33,06:43:56,8998
9,10,38.38,01:18:33,06:43:56,8998
10,10,37.33,01:18:33,06:43:56,8998
1,15,34.25,01:21:14,06:56:27,8728
2,15,36.31,01:21:14,06:56:27,8728
3,15,37.73,01:21:14,06:56:27,8728
4,15,36.66,01:21:14,06:56:27,8728
5,15,37.80,01:21:14,06:56:27,8728
6,15,37.11,01:21:14,06:56:27,8728
7,15,37.00,01:21:14,06:56:27,8728
8,15,38.95,01:21:14,06:56:27,8728
9,15,40.89,01:21:14,06:56:27,8728
10,15,37.61,01:21:14,06:56:27,8728
1,20,36.52,01:22:31,07:19:42,8385
2,20,38.26,01:22:31,07:19:42,8385
3,20,40.41,01:22:31,07:19:42,8385
4,20,35.92,01:22:31,07:19:42,8385
5,20,35.28,01:22:31,07:19:42,8385
6,20,36.95,01:22:31,07:19:42,8385
7,20,37.43,01:22:31,07:19:42,8385
8,20,37.23,01:22:31,07:19:42,8385
9,20,36.28,01:22:31,07:19:42,8385
10,20,33.17,01:22:31,07:19:42,8385
1,25,34.46,01:12:12,07:09:39,7978
2,25,36.84,01:12:12,07:09:39,7978
3,25,36.84,01:12:12,07:09:39,7978
4,25,38.85,01:12:12,07:09:39,7978
5,25,34.46,01:12:12,07:09:39,7978
6,25,35.51,01:12:12,07:09:39,7978
7,25,35.34,01:12:12,07:09:39,7978
8,25,32.46,01:12:12,07:09:39,7978
9,25,35.88,01:12:12,07:09:39,7978
10,25,35.46,01:12:12,07:09:39,7978
1,30,33.69,00:52:44,05:00:49,7482
2,30,34.76,00:52:44,05:00:49,7482
3,30,35.38,00:52:44,05:00:49,7482
4,30,31.28,00:52:44,05:00:49,7482
5,30,34.49,00:52:44,05:00:49,7482
6,30,35.03,00:52:44,05:00:49,7482
7,30,35.29,00:52:44,05:00:49,7482
8,30,35.96,00:52:44,05:00:49,7482
9,30,37.52,00:52:44,05:00:49,7482
10,30,35.03,00:52:44,05:00:49,7482
1,35,35.95,00:48:05,04:25:33,6871
2,35,34.93,00:48:05,04:25:33,6871
3,35,32.02,00:48:05,04:25:33,6871
4,35,34.93,00:48:05,04:25:33,6871
5,35,34.06,00:48:05,04:25:33,6871
6,35,34.06,00:48:05,04:25:33,6871
7,35,33.33,00:48:05,04:25:33,6871
8,35,31.15,00:48:05,04:25:33,6871
9,35,34.50,00:48:05,04:25:33,6871
10,35,35.17,00:48:05,04:25:33,6871
1,40,29.76,00:56:16,05:50:35,6151
2,40,32.85,00:56:16,05:50:35,6151
3,40,33.33,00:56:16,05:50:35,6151
4,40,33.82,00:56:16,05:50:35,6151
5,40,33.50,00:56:16,05:50:35,6151
6,40,34.31,00:56:16,05:50:35,6151
7,40,33.01,00:56:16,05:50:35,6151
8,40,35.39,00:56:16,05:50:35,6151
9,40,32.36,00:56:16,05:50:35,6151
10,40,29.76,00:56:16,05:50:35,6151
1,45,30.30,00:41:09,05:03:40,5383
2,45,31.97,00:41:09,05:03:40,5383
3,45,32.34,00:41:09,05:03:40,5383
4,45,29.37,00:41:09,05:03:40,5383
5,45,33.58,00:41:09,05:03:40,5383
6,45,32.34,00:41:09,05:03:40,5383
7,45,33.21,00:41:09,05:03:40,5383
8,45,27.88,00:41:09,05:03:40,5383
9,45,34.51,00:41:09,05:03:40,5383
10,45,31.78,00:41:09,05:03:40,5383
1,5,40.95,01:20:53,07:08:10,9229
2,5,37.59,01:20:53,07:08:10,9229
3,5,36.94,01:20:53,07:08:10,9229
4,5,38.35,01:20:53,07:08:10,9229
5,5,40.41,01:20:53,07:08:10,9229
6,5,39.15,01:20:53,07:08:10,9229
7,5,37.70,01:20:53,07:08:10,9229
8,5,37.92,01:20:53,07:08:10,9229
